,Date,MORTGAGE30US,Monthly_Median_Income,Monthly_Interest_Payment,Monthly_Mortgage_Payment,Total_Mortgage_Payment,Income_to_Total_Mortgage_Ratio
26,2000-12-31,8.053461538461539,3499.054166666667,1160.3695833333334,1275.1286781923673,2435.4982615257004,0.6960447439560072
27,2001-12-31,6.967884615384615,3519.090833333333,993.5042147435896,1134.6445788962228,2128.1487936398125,0.60474392234542
28,2002-12-31,6.537307692307692,3533.9599999999996,1035.6184935897436,1206.2292868930213,2241.847780482765,0.6343727095051345
29,2003-12-31,5.826981132075471,3609.7766666666666,965.3365408805031,1169.8830182431777,2135.219559123681,0.5915101559718877
30,2004-12-31,5.839230769230769,3694.5699999999997,1113.3466666666666,1348.212375176824,2461.5590418434904,0.6662640149850972
31,2005-12-31,5.866730769230769,3860.5275,1190.9463461538462,1439.6988233038549,2630.645169457701,0.6814211709300609
32,2006-12-31,6.413269230769231,4016.595,1311.5135576923078,1537.1242248364674,2848.6377825287755,0.7092170812662904
33,2007-12-31,6.337307692307693,4186.089166666667,1259.011794871795,1481.433656342757,2740.445451214552,0.6546552980849991
34,2008-12-31,6.027169811320754,4192.206666666667,1117.5377358490566,1337.8890277688145,2455.426763617871,0.5857122415127127
35,2009-12-31,5.036538461538461,4148.269166666667,919.1682692307692,1180.5346447735405,2099.7029140043096,0.5061636141830983
36,2010-12-31,4.689807692307692,4106.203333333334,876.6032211538462,1161.9309136881832,2038.5341348420293,0.4964523111394944
37,2011-12-31,4.447884615384615,4171.153333333333,819.5227403846153,1113.4451052632933,1932.9678456479087,0.4634132795360937
38,2012-12-31,3.6574999999999998,4251.6775,767.160625,1152.490221887731,1919.650846887731,0.45150434078966034
39,2013-12-31,3.9755769230769227,4328.346666666667,906.4315384615384,1302.3588405525352,2208.7903790140736,0.5103081035593436
40,2014-12-31,4.168867924528302,4471.196666666667,1038.3955188679245,1456.2463160769857,2494.6418349449104,0.557936056255986
41,2015-12-31,3.8505769230769227,4709.535,970.666266025641,1418.2445699108657,2388.910835936507,0.5072498316577978
42,2016-12-31,3.6540384615384616,4920.045,946.7004647435897,1422.9497069556478,2369.6501716992375,0.4816318085910266
43,2017-12-31,3.9898076923076924,5114.6175,1123.4633493589745,1611.201416800459,2734.6647661594334,0.5346763010448843
44,2018-12-31,4.544615384615384,5265.2300000000005,1222.5015384615383,1644.1485545022742,2866.6500929638123,0.5444491680256726
45,2019-12-31,3.935769230769231,5725.124166666667,1072.8250961538463,1549.537285524708,2622.3623816785544,0.45804463018404185
46,2020-12-31,3.111698113207547,5667.258333333334,878.0174842767295,1448.0297968325433,2326.0472811092727,0.4104360776052981
47,2021-12-31,2.957692307692308,5899.003333333333,1020.4038461538462,1736.0084314378228,2756.412277591669,0.4672674555066086
48,2022-12-31,5.344038461538461,6215.0,1971.0595192307692,2469.896448137814,4440.9559673685835,0.7145544597535934
